,Message,Views,Date,Time
287,✅已核實消息【1517】示威者包圍稅務大樓後，轉去包圍入境事務大樓，而在兩座大樓中間的灣仔政府大樓，已經落閘，但從門外玻璃向內看，有警員席地而坐，在玩手機，身旁有頭盔。由於角度所限，未能了解內有多少名警員，以及會否有其他裝備。Source: fact check人員現場消息,12.4K,2019-06-18,13:02
288,✅已核實消息民建聯澄清，蔣麗芸今早有關重推修例的言論只屬個人意見，並無在黨內討論，重申理解及尊重特首暫緩修例的決定。Source: 民建聯Facebook,11.8K,2019-06-18,14:01
289,"✅已核實消息警方表示，因警察總部被包圍及道路被阻塞，截至今午3時35分，灣仔分區共有28個「999求助」未能即時處理，警方需要調派其他資源跟進，灣仔分區服務因此出現延誤。警方呼籲，示威者盡快離開現場，令「999求助」服務得以回復正常。Source: 明報, Now news",11.8K,2019-06-18,17:23
290,✅已核實消息網傳12/6衝突中一名青年中槍吐血的影片，連日來有謠言指該青年已身亡。傳真社聯絡到該名受傷高中生，他送院後確診鼻樑骨折及肩膊軟組織受傷，無需留院。傳真社報道指，事主事發時只是站在原地，未有移動或大聲呼叫，但被催淚彈擊中臉部，流出大量鼻血。事主澄清自己非內傷吐血，只是鼻血倒流至口腔後吐出。傳真社又比對事發時片段，發現警員15分鐘內，最少17次以水平角度向示威者開火。Source: FactWire 傳真社http://bit.ly/2L2kY0e,11.8K,2019-06-18,23:46
291,✅已核實消息二十國集團（G20）峰會將在下周五及周六（28、29/6）舉行。民陣將在下周三（26/6）舉行集會，冀透過國際壓力要求政府回應5大訴求。集會詳情如下：日期：6月26日（三）地點：愛丁堡廣場時間：20:00-21:00Source: 民間人權陣線,23.1K,2019-06-19,12:28
292,✅已核實消息政府發言人表示，尊重市民遊行集會的權利，但今日示威活動對多項公共服務構成影響及對交通造成阻塞，為市民帶來不便；呼籲示威人士表達意見時要和平、理性，並要顧及其他市民的需要。發言人又指，就今日媒體報道關於立法會議員就修例的言論，政府重申已完全停止《逃犯條例》的修訂工作。Source: 政府新聞公報,24.4K,2019-06-19,15:25
293,❌以下內容為假消息港人講地上載圖片，指示威者以鐵鏈緊鎖警察總部後門鐵閘。---------由有線電視報道片段（約02:00）可見，鐵鏈是由警方自行鎖上。https://www.facebook.com/186040714921338/posts/1138988762959857/Source: 有線新聞,11.5K,2019-06-19,16:22
294,✅已核實消息【2118】鄺俊宇在警總外開咪，稱聯絡到梁凌杰父母，二人着鄺俊宇向大家轉達一句話：「希望大家都可以安安全全返到屋企，因為唔係個個都有呢個福氣。」鄺俊宇讚揚大家打游擊戰，做到聚完又散，散完又聚，強調不受傷、不流血、不被捕的原則，呼籲大家保護身邊每一個手足，不要讓任何一個人受傷。其後他與在場人士一同為梁凌杰默哀一分鐘。另外，青年新政早前指，警察總部是軍火庫，警察必定會全力鎮壓任何衝擊者，由於警總外聚集群眾眾多，為免擦槍走火，呼籲只圍不衝。Source: 現場消息、青年新政圖片來源: 網上圖片,10.9K,2019-06-19,18:12
295,✅已核實消息警總現場示威者將於23:30以舉手投票方式決定今夜去留。Source: fact check人員現場消息,25.4K,2019-06-19,18:57
296,✅已核實消息警總內有人員報稱不適，約6名救護員在郭家麒議員及張超雄議員陪同下預備由正門進入警察總部。警方半小時前在FB上發表影片，指有懷孕、患長期病患人員被困警總未能離開，呼籲示威者讓出軍器廠街通道。Source: 蘋果live、香港警察Facebook,11.6K,2019-06-20,18:37
297,✅已核實消息救護員在警察總部外等候最少15分鐘，警方仍未開通閘門讓其進入救援。Source: 蘋果live,24.7K,2019-06-20,20:03
298,✅已核實消息救護員用輪椅由警總抬出最少3名女傷者，包括一名老婦，亦有部分職員自行步出警總。Source: 立場新聞live,10.6K,2019-06-20,20:25
299,✅已核實消息律政司司長鄭若驊在傳媒面前，就政府在《逃犯修例》修訂條例工作不足，向公眾致歉。她表示，任何事件不論是否定性為暴動，都不會影響律政司的檢控工作。被問到會否成立獨立調查委員會調查6.12警察使用不恰當武力，鄭若驊認為應先從現有投訴機制處理，包括監警會。Source: Now TV Live、RTHK news,11.2K,2019-06-20,20:57
300,✅已核實消息警務處前處長曾偉雄表示，警方於612衝突中使用的武力合適、有需要及合法，認為當時只使用催淚彈不足以處理情況，警察只是履行職責。曾偉雄認為要警方撤回檢控很難做到，否則影響香港法治。被問到調查6.12警察濫權，他認為現時投訴機制已足夠，監警會等機構都很可信。Source: NowTV Live,10.3K,2019-06-21,09:39
301,🚫以下新聞內容不可信「保普選 反佔中」簽左名揮手區！FB專頁今日凌晨進行51分鐘直播，該片段使用了有線電視、Now直播台、香港電台、01直播、點新聞的直播畫面，期間旁白加入大量個人評語。涉事影片：https://www.facebook.com/Anti.OCLP928/videos/422922921894342/?hc_location=ufi有線新聞發聲明，指有人在社交媒體擅自使用該台直播片段，並自行配上旁白，令人誤會片段是該台新聞報道。有線對蓄意誤導公眾的侵權行為，保留一切追究權利。Source: 有線新聞https://www.facebook.com/186040714921338/posts/1139918506200216/,10.3K,2019-06-21,10:07
302,⭕️特別呼籲民陣將於今晚舉行追究警察濫權集會追究警察濫權集會日期：6月23日（日）地點：立法會示威區時間：20:00-21:30Source: 民間人權陣線Facebook,10.3K,2019-06-21,11:49
303,✅已核實消息醫護界及法律界選委今日召開記者會，透露因612衝突而在公立醫院被捕的5人中，4人涉暴動罪，1人涉非法集結。Source: 蘋果日報,10.3K,2019-06-21,12:13
304,✅已核實消息行政會議明日休會，已是連續兩周暫停會議。Source: RTHK,9.7K,2019-06-21,12:29
305,✅已核實消息選舉管理委員會取消晚上區議會選舉活動建議指引公眾諮詢大會，市民可在7月10日前提供書面意見。Source: Now news、選管會,10.0K,2019-06-21,14:03
306,⭕️26/6-29/6 反送中活動整合----------26/6（三）「G20各國領事館馬拉松式請願」 時間：09:00集合集合地點：中環遮打花園大會dresscode：黑衣路線：美國領事館>歐盟辦事處>英國領事館（之後分成3批到其他領事館）○1A(灣仔方向)：墨西哥>巴西>俄羅斯>澳洲>印尼○1B(灣仔方向)：南非>沙特阿拉伯>意大利>土耳其○2(中環方向)：加拿大>日本>阿根廷>韓國>德國>法國>印度「民陣愛丁堡廣場集會」時間：20:00-21:00地點：愛丁堡廣場-----------27/6（四）- 10:00 律政中心觀賞建築風格- 12:00 警總舉報冒警28/6（五）（G20首日）- 全球反送中遊行29/6（六）（G20）- 15:00 全港中學生反送中集會Source: 626領事館請願行動發起群組、民陣、沙田區中學逃犯條例關注組,10.0K,2019-06-21,14:09
307,"✅已核實消息醫管局消息人士指，伊利沙伯醫院今日中午接獲警方通知，取消派員駐守警崗。下午3時許，伊院警崗貼出告示，指警員外出巡邏。消息指，因應前線警員稱在醫院當值期間受不禮貌對待，警方今日決定駐守伊院及仁濟醫院的警員，改為在醫院周邊巡邏，不會一直於警崗駐守。Source: RTHK, HK01, 東網",10.0K,2019-06-21,14:18
308,⭕️626集會資訊「民陣愛丁堡廣場集會」時間：20:00-21:00地點：愛丁堡廣場另外有群組發起民陣集會後升級行動，留守至G20峰會舉行。時間．9PM地點．愛丁堡廣場行動．由愛丁堡出發目標．留守至G20峰會舉行備註．請自行攜帶帳篷、睡墊、充足糧食、電筒及露營用品發起組織: 抗爭聯合陣線、青年新政、陳浩天、陳家駒、鍾翰林、學生動源、18區聯合群組、God Bless HK@IG、Scout Scout認證哨兵消息主頻道、新。戰術公海、反送中媒體發送組、中學生反修例關注組、青年反修例關注組、中學生總台Source: 民陣，民間團體,10.9K,2019-06-21,14:29
309,⭕️27/6-29/6 反送中活動整合----------27/6（四）「律政中心觀賞建築風格」網民發起活動，因應律政司今晚(26/6)21:00死線前未回應訴求，明早將到律政中心觀賞建築風格時間：10:00地點：中環律政中心「立案投訴速龍小隊隱藏編號」時間：12:00地點：灣仔警察總部路線：1) 往警察投訴課投訴2) 往監警會投訴----------28/6（五）（G20首日）- 全球反送中遊行29/6（六）（G20）- 15:00 全港中學生反送中集會Source: 區諾軒FB、沙田區中學逃犯條例關注組,23.6K,2019-06-21,14:52
310,✅已核實消息26/6 後續行動民陣集會後，有人在香港大會堂宣布後續行動。青年新政梁頌恆指，民間提出4點訴求，但政府無回應半點訴求，不撤不退。他呼籲民眾有2項後續行動，分別是今晚包圍警總，及明天早上10時到律政中心。前樹仁大學學生會長楊逸朗亦解釋後續行動，呼籲市民不離開，今晚把握士氣，不撤不散，今晚留守包圍警總，明早會合學界包圍律政中心，之後包圍禮賓府。Source: fact check人員現場消息,10.9K,2019-06-21,15:07
311,✅已核實消息接近晚上11時，示威者以鐵馬陣圍封警總軍器廠街側門，但不久後至少數名防暴警察步出側門，手持盾牌，欲推開鐵馬，在場人士以雨傘抵擋，約3分鐘後防暴警察退回側門內。Source: 蘋果live,11.5K,2019-06-21,15:21
312,✅已核實消息民政事務總署表示，因應近日社會情況及基於安全考慮，七一升旗禮將不安排學生及制服團體出席。Source: 民政事務總署,11.5K,2019-06-21,15:45
313,⭕️28/6-29/6 反送中活動整合---------28/6（五）「連結G20 · 民主香港集會」時間：19:00地點：立法會示威區（煲底）---------29/6（六）*集會取消* (詳見下個post)「全港中學生反送中集會」時間：15:00地點：立法會示威區（煲底）※關注組呼籲中學生穿著校服出席，其他市民可穿白衣參與Source: 全港反送中聯席、沙田區中學逃犯條例關注組,10.6K,2019-06-21,17:56
314,[27/6 21:15 update]⭕️28/6-29/6 反送中活動整合---------28/6（五）「連結G20 · 民主香港集會」時間：19:00地點：立法會示威區（煲底）---------29/6（六）集會取消「全港中學生反送中集會」時間：15:00地點：立法會示威區（煲底）關注組表示，近日收到不少意見，明白到以校服為服飾對學生安全構成威脅，故決定取消集會。Source: 全港反送中聯席、沙田區中學逃犯條例關注組,10.6K,2019-06-21,18:55
315,✅已核實消息監警會主席梁定邦向監警會成員建議，會方主動審視近期大型公眾活動，以履行其法定職能。該會正就建議進行內部討論，短期內向公眾交代。Source: 監警會,12.8K,2019-06-21,20:15
316,🚫以下消息未有可靠來源網傳612衝突中中槍的肺癌老伯已離世。-------前電台主持陳雲海在Facebook上傳該名老伯接受《紐約時報》訪問的照片闢謠。本channel人員亦向伯伯家屬朋友查證，確認伯伯仍健在，但不清楚他會否出席七一遊行。Source: 陳雲海FB，fact check人員查證,31.2K,2019-06-21,20:15
317,⭕️特別呼籲選舉事務處會對有合理理由懷疑的選民登記，發出查訊信件。於2018年，有4.6萬名選民因沒有回應選舉事務處的查訊信件或確認住址而被取消登記。大家可到 https://www2.voterinfo.gov.hk/bd_reovi/OVIES/jsp/mob/ 查詢自己於選民登記冊上的現有登記資料。2019選民登記截止日期為7月2日，符合資格又未有登記的市民請即到https://www.reo-form.gov.hk/eto/ch/index.jsp 登記。Source: 明報截止日期將至，請確認自己的選民身分，及提醒身邊親友，一盡公民責任。,34.8K,2019-06-21,21:08
318,✅已核實消息政務司司長張建宗表示，71回歸紀念日的升旗儀式會如常於灣仔金紫荊廣場舉行。他稱，早前因應不同原因，特別是保安理由而省卻制服團隊參與升旗儀式。如果71當日天氣不穩，當局有應變措施，會改於室內舉行升旗儀式。被問及特首最近工作，張建宗表示，特首林鄭月娥一直於禮賓府工作，會見不同界別，包括警方，形容政府運作如常，又表示特區政府會從經驗中汲取教訓。Source: RTHK news,13.4K,2019-06-21,21:48
319,❌以下內容已證實為假消息逃犯條例已經恢復二讀！！https://lih.kg/1263670- 分享自 LIHKG 討論區———————————————-標題黨帖文中的影片連結，為《立場新聞》今日在立法會內會會議期間進行的直播影片，節錄有關國歌法條例草案委員會報告部分，詳情可參考以下原片：https://www.facebook.com/standnewshk/videos/339019263651438/(07:30-12:00)當中提及政府會在下立法年度，即暑假後復會後，恢復國歌法草案二讀，而非指逃犯條例。不過議員毛孟靜亦在會上提出質疑，指政府在處理國歌法二讀上避用「撤回」或「押後」等字眼，認為政府雖然聲稱「暫緩」逃犯條例修訂，程序上仍然不清晰，要求內會主席李慧琼在與政務司司長張建宗會面時釐清有關問題。註：下個立法年度會在今年10月開始，至下年7月結束。現時政府只宣佈暫緩逃犯條例，並非撤回，若至明年七月立法會會期結束仍未通過，條例草案才會自動失效。,25.5K,2019-06-21,23:20
320,🚫以下內容已證實為假消息明天中聯辦賣旗籌款改名為身心美基金，千萬不要買❎❌——————————————————身心美慈善基金已於6月15日舉辦賣旗日，而按政府一站通資料顯示，明天並沒有賣旗活動。身心美慈善基金首席榮譽贊助人為中聯辦副主任林武，多位名譽會長亦有中聯辦或全國政協等親中身分。Source: 身心美慈善基金官網、香港政府一站通,29.3K,2019-06-21,23:36
321,"✅已核實消息會展因應政府要求，明日全面關閉，正舉辦的寵物用品展及家居博覽提前今晚結束。警方表示，為配合升旗禮安排，會展半島及灣仔北一帶道路今日已經封閉。封閉路段包括整個會展半島，博覽道、博覽道中、博覽道東、中環及灣仔繞道（東行）通往灣仔北出口及介乎博覽道中與會議道之間的一段菲林明道。此外，介乎龍合街與博覽道東之間的一段龍和道和中環及灣仔繞道（西行）通往龍和道的支路亦會封閉。有關封路安排原則上升旗禮結束，但料7.1日間大部分時間維持，清理完現場為止。另外，目前灣仔會展已有大批警察駐守，而金紫荊廣場亦已圍封，沿途有很多警察站崗，警方已封鎖多個通往金紫荊廣場的入口，包括車路和行人路。Source: RTHK news, 香港01，蘋果日報",11.5K,2019-06-21,23:46
322,💐特別呼籲有網民呼籲市民今晚自發到粉嶺嘉福邨福泰樓，向今日墮樓身亡的女子獻花或默禱悼念。另外，有網民發起於明天晚上九時到立法會煲底悼念該名女子，市民可到場悼念。————————————————-求助網站和熱線：香港撒瑪利亞防止自殺會熱線：23892222醫院管理局精神健康專線：24667350東華三院芷若園熱線︰18281撒瑪利亞會熱線︰28960000社會福利署熱線︰23432255生命熱線：23820000賽馬會青少年情緒健康網上支援平台-「Open噏」24小時網上輔導：91012012（SMS）學友社學生熱線：25033399利民會《即時通》：35122626如果有需要，請務必尋求情緒支援。,12.8K,2019-06-21,00:23
323,💐特別呼籲 [updated 22:23]1. 有網民呼籲市民今晚自發到粉嶺嘉福邨福泰樓，向今日墮樓身亡的女子獻花或默禱悼念。2. 教大學生會將於明天 (30/6) 在大埔校園中央廣場內舉行悼念儀式日期：30/6 （星期日）時間：15:30地點：教大中央廣場衣著：黑衣3. 另外，有網民發起於明天晚上九時到立法會煲底悼念該名女子，市民可到場悼念。————————————————-求助網站和熱線：香港撒瑪利亞防止自殺會熱線：23892222醫院管理局精神健康專線：24667350東華三院芷若園熱線︰18281撒瑪利亞會熱線︰28960000社會福利署熱線︰23432255生命熱線：23820000賽馬會青少年情緒健康網上支援平台-「Open噏」24小時網上輔導：91012012（SMS）學友社學生熱線：25033399利民會《即時通》：35122626如果有需要，請務必尋求情緒支援。,13.7K,2019-06-22,11:53
324,⭕️30/6-1/7 行動整合----------30/6（日）「七一塞爆金紫荊通宵國歌演練」時間：21:00地點：立法會示威區(煲底)/金紫荊廣場（會展龍和道作後備）※由於活動為網民自發，本頻道盡量整合現有資訊，若最終集合地點有變，會再作通知，謝謝「墮樓女大學生悼念儀式」時間：21:00地點：立法會示威區(煲底)※出席人士可穿黑衣並攜帶白花致意---------1/7（一）「七一塞爆金紫荊/不舉行動」時間：06:30地點：金紫荊廣場「七一香港黑旗禮」時間：08:00地點：中環愛丁堡廣場Dresscode: 黑衫「民陣七一遊行」時間：14:30集合，15:00起步路線：維園中央草坪➡️金鐘政總Source: 七一塞爆金紫荊頻道，612 reminder，民陣，Lihkg討論區,14.9K,2019-06-22,13:17
325,✅已核實消息民政事務局宣布，七月一日的升旗儀式不會設立公眾觀禮區。Source: 政府新聞處,14.9K,2019-06-22,19:57
326,⭕️特別呼籲七一遊行會由港大、美國大學、明報及有線一起用人工智能及科學方式點人數，監察點會設在波斯富街及軍器廠街，遊行人士即使中途加入或中途離開，請務必也要經過這兩個地點。Source: 有線新聞,11.5K,2019-06-23,16:33
327,✅已核實消息七一升旗儀式以雨天方案進行，嘉賓會在會展3樓大會堂通過電視屏幕觀看升旗儀式，慶祝酒會如期進行Source: RTHK news,11.8K,2019-06-23,16:48
328,✅已核實消息 港鐵金鐘站及灣仔站因應警方要求關閉Source: RTHK news,12.2K,2019-06-24,19:25
329,✅已核實消息譚文豪正向夏𢡱道示威者表示，警方承諾如果示威者後退10米，警方不會再把防線推前，譚文豪著示威者自行思考，他會站到最前。Source: 蘋果日報live,10.6K,2019-06-25,14:31
330,✅已核實消息灣仔已舉行升旗儀式。Source: tvb live,10.3K,2019-06-25,19:46
331,✅已核實消息林鄭月娥在灣仔會展發表演辭，她稱，就近期發生的事，她會汲取教訓，未來政府施政會變得更開放、包容。她會安排更多時間會見更多不同政黨，以及不同背景的青年。制訂政策時，會多聆聽意見，持續改善政府施政。她表示，香港在一國兩制下，會繼續背靠祖國，面向世界。她會與團隊加倍努力，令市民重拾信心，重新出發。Source: Tvb live,10.0K,2019-06-26,16:15
332,✅已核實消息港鐵在約10時50分公布，金鐘站及灣仔站服務已恢復正常。Source: RTHK news,29.3K,2019-06-26,18:27
333,✅已核實消息警方指今早有示威者向警員投擲懷疑含不明液體的物件，導致有警員呼吸困難及皮膚紅腫，共13名警員送院治理。警方予以強烈譴責，揚言嚴肅跟進。Source: 政府新聞公報,10.3K,2019-06-26,21:25
334,✅已核實消息七一大遊行如期舉行，民陣呼籲市民穿黑衣集合時間：1430集合地點：維園中央草坪起步時間：1500Source: 民陣,10.3K,2019-06-26,21:54
335,✅已核實消息監警會主席梁定邦向監警會成員建議，會方主動審視近期大型公眾活動，以履行其法定職能。該會正就建議進行內部討論，短期內向公眾交代。Source: 監警會,10.6K,2019-06-26,23:12
336,🚫以下消息未有可靠來源網傳612衝突中中槍的肺癌老伯已離世。-------前電台主持陳雲海在Facebook上傳該名老伯接受《紐約時報》訪問的照片闢謠。本channel人員亦向伯伯家屬朋友查證，確認伯伯仍健在，但不清楚他會否出席七一遊行。Source: 陳雲海FB，fact check人員查證,9.7K,2019-06-27,15:48
337,⭕️特別呼籲選舉事務處會對有合理理由懷疑的選民登記，發出查訊信件。於2018年，有4.6萬名選民因沒有回應選舉事務處的查訊信件或確認住址而被取消登記。大家可到 https://www2.voterinfo.gov.hk/bd_reovi/OVIES/jsp/mob/ 查詢自己於選民登記冊上的現有登記資料。2019選民登記截止日期為7月2日，符合資格又未有登記的市民請即到https://www.reo-form.gov.hk/eto/ch/index.jsp 登記。Source: 明報截止日期將至，請確認自己的選民身分，及提醒身邊親友，一盡公民責任。,10.0K,2019-06-27,16:21
338,✅已核實消息政務司司長張建宗表示，71回歸紀念日的升旗儀式會如常於灣仔金紫荊廣場舉行。他稱，早前因應不同原因，特別是保安理由而省卻制服團隊參與升旗儀式。如果71當日天氣不穩，當局有應變措施，會改於室內舉行升旗儀式。被問及特首最近工作，張建宗表示，特首林鄭月娥一直於禮賓府工作，會見不同界別，包括警方，形容政府運作如常，又表示特區政府會從經驗中汲取教訓。Source: RTHK news,20.9K,2019-06-27,19:25
339,❌以下內容已證實為假消息逃犯條例已經恢復二讀！！https://lih.kg/1263670- 分享自 LIHKG 討論區———————————————-標題黨帖文中的影片連結，為《立場新聞》今日在立法會內會會議期間進行的直播影片，節錄有關國歌法條例草案委員會報告部分，詳情可參考以下原片：https://www.facebook.com/standnewshk/videos/339019263651438/(07:30-12:00)當中提及政府會在下立法年度，即暑假後復會後，恢復國歌法草案二讀，而非指逃犯條例。不過議員毛孟靜亦在會上提出質疑，指政府在處理國歌法二讀上避用「撤回」或「押後」等字眼，認為政府雖然聲稱「暫緩」逃犯條例修訂，程序上仍然不清晰，要求內會主席李慧琼在與政務司司長張建宗會面時釐清有關問題。註：下個立法年度會在今年10月開始，至下年7月結束。現時政府只宣佈暫緩逃犯條例，並非撤回，若至明年七月立法會會期結束仍未通過，條例草案才會自動失效。,10.0K,2019-06-27,21:15
340,🚫以下內容已證實為假消息明天中聯辦賣旗籌款改名為身心美基金，千萬不要買❎❌——————————————————身心美慈善基金已於6月15日舉辦賣旗日，而按政府一站通資料顯示，明天並沒有賣旗活動。身心美慈善基金首席榮譽贊助人為中聯辦副主任林武，多位名譽會長亦有中聯辦或全國政協等親中身分。Source: 身心美慈善基金官網、香港政府一站通,22.8K,2019-06-27,21:17
341,"✅已核實消息會展因應政府要求，明日全面關閉，正舉辦的寵物用品展及家居博覽提前今晚結束。警方表示，為配合升旗禮安排，會展半島及灣仔北一帶道路今日已經封閉。封閉路段包括整個會展半島，博覽道、博覽道中、博覽道東、中環及灣仔繞道（東行）通往灣仔北出口及介乎博覽道中與會議道之間的一段菲林明道。此外，介乎龍合街與博覽道東之間的一段龍和道和中環及灣仔繞道（西行）通往龍和道的支路亦會封閉。有關封路安排原則上升旗禮結束，但料7.1日間大部分時間維持，清理完現場為止。另外，目前灣仔會展已有大批警察駐守，而金紫荊廣場亦已圍封，沿途有很多警察站崗，警方已封鎖多個通往金紫荊廣場的入口，包括車路和行人路。Source: RTHK news, 香港01，蘋果日報",10.0K,2019-06-27,23:36
342,💐特別呼籲有網民呼籲市民今晚自發到粉嶺嘉福邨福泰樓，向今日墮樓身亡的女子獻花或默禱悼念。另外，有網民發起於明天晚上九時到立法會煲底悼念該名女子，市民可到場悼念。————————————————-求助網站和熱線：香港撒瑪利亞防止自殺會熱線：23892222醫院管理局精神健康專線：24667350東華三院芷若園熱線︰18281撒瑪利亞會熱線︰28960000社會福利署熱線︰23432255生命熱線：23820000賽馬會青少年情緒健康網上支援平台-「Open噏」24小時網上輔導：91012012（SMS）學友社學生熱線：25033399利民會《即時通》：35122626如果有需要，請務必尋求情緒支援。,22.4K,2019-06-28,10:47
343,💐特別呼籲 [updated 22:23]1. 有網民呼籲市民今晚自發到粉嶺嘉福邨福泰樓，向今日墮樓身亡的女子獻花或默禱悼念。2. 教大學生會將於明天 (30/6) 在大埔校園中央廣場內舉行悼念儀式日期：30/6 （星期日）時間：15:30地點：教大中央廣場衣著：黑衣3. 另外，有網民發起於明天晚上九時到立法會煲底悼念該名女子，市民可到場悼念。————————————————-求助網站和熱線：香港撒瑪利亞防止自殺會熱線：23892222醫院管理局精神健康專線：24667350東華三院芷若園熱線︰18281撒瑪利亞會熱線︰28960000社會福利署熱線︰23432255生命熱線：23820000賽馬會青少年情緒健康網上支援平台-「Open噏」24小時網上輔導：91012012（SMS）學友社學生熱線：25033399利民會《即時通》：35122626如果有需要，請務必尋求情緒支援。,9.7K,2019-06-28,20:24
344,⭕️30/6-1/7 行動整合----------30/6（日）「七一塞爆金紫荊通宵國歌演練」時間：21:00地點：立法會示威區(煲底)/金紫荊廣場（會展龍和道作後備）※由於活動為網民自發，本頻道盡量整合現有資訊，若最終集合地點有變，會再作通知，謝謝「墮樓女大學生悼念儀式」時間：21:00地點：立法會示威區(煲底)※出席人士可穿黑衣並攜帶白花致意---------1/7（一）「七一塞爆金紫荊/不舉行動」時間：06:30地點：金紫荊廣場「七一香港黑旗禮」時間：08:00地點：中環愛丁堡廣場Dresscode: 黑衫「民陣七一遊行」時間：14:30集合，15:00起步路線：維園中央草坪➡️金鐘政總Source: 七一塞爆金紫荊頻道，612 reminder，民陣，Lihkg討論區,9.7K,2019-06-28,21:55
345,✅已核實消息民政事務局宣布，七月一日的升旗儀式不會設立公眾觀禮區。Source: 政府新聞處,9.4K,2019-06-29,12:25
346,⭕️特別呼籲七一遊行會由港大、美國大學、明報及有線一起用人工智能及科學方式點人數，監察點會設在波斯富街及軍器廠街，遊行人士即使中途加入或中途離開，請務必也要經過這兩個地點。Source: 有線新聞,9.4K,2019-06-29,18:48
347,✅已核實消息七一升旗儀式以雨天方案進行，嘉賓會在會展3樓大會堂通過電視屏幕觀看升旗儀式，慶祝酒會如期進行Source: RTHK news,10.6K,2019-06-29,21:50
348,✅已核實消息 港鐵金鐘站及灣仔站因應警方要求關閉Source: RTHK news,12.1K,2019-06-29,22:23
349,✅已核實消息譚文豪正向夏𢡱道示威者表示，警方承諾如果示威者後退10米，警方不會再把防線推前，譚文豪著示威者自行思考，他會站到最前。Source: 蘋果日報live,31.4K,2019-06-30,11:40
350,✅已核實消息灣仔已舉行升旗儀式。Source: tvb live,10.6K,2019-06-30,15:09
351,✅已核實消息林鄭月娥在灣仔會展發表演辭，她稱，就近期發生的事，她會汲取教訓，未來政府施政會變得更開放、包容。她會安排更多時間會見更多不同政黨，以及不同背景的青年。制訂政策時，會多聆聽意見，持續改善政府施政。她表示，香港在一國兩制下，會繼續背靠祖國，面向世界。她會與團隊加倍努力，令市民重拾信心，重新出發。Source: Tvb live,10.6K,2019-06-30,23:57
352,✅已核實消息港鐵在約10時50分公布，金鐘站及灣仔站服務已恢復正常。Source: RTHK news,10.6K,2019-06-30,06:52
353,✅已核實消息警方指今早有示威者向警員投擲懷疑含不明液體的物件，導致有警員呼吸困難及皮膚紅腫，共13名警員送院治理。警方予以強烈譴責，揚言嚴肅跟進。Source: 政府新聞公報,10.6K,2019-06-30,07:17
354,✅已核實消息七一大遊行如期舉行，民陣呼籲市民穿黑衣集合時間：1430集合地點：維園中央草坪起步時間：1500Source: 民陣,12.8K,2019-06-30,07:57
355,✅已核實消息七一大遊行如期舉行，民陣呼籲市民穿黑衣集合時間：1430集合地點：維園中央草坪起步時間：1500Source: 民陣,11.2K,2019-07-01,08:00
356,✅已核實消息警方表示曾向民陣建議遊行延期，只在維園集會，或以灣仔為終點，主辦單位拒絕，警方指民陣罔顧市民安全，並呼籲市民考慮應否參與遊行。Source: RTHK live,12.8K,2019-07-01,08:13
357,✅已核實消息民陣宣布今日遊行改以遮打道為終點。Source: 有線live,12.4K,2019-07-01,11:05
358,✅已核實消息根據警方指示， 立法會綜合大樓不安全，所有人士必須立即撤離。 經行管會主席同意，大樓現在發出紅色警示，為歷年來首次。Source: on.cc,20.9K,2019-07-01,12:23
359,❌以下內容證實為假新聞毛孟靜同前線義士既對話［有圖］- 分享自 LIHKG 討論區https://lih.kg/1272312--------原新聞片段：https://m.youtube.com/watch?v=243Ecsq1j1Y&feature=youtu.beNOW新聞的原片並未有附上字幕，毛孟靜與示威者對話如下：毛孟靜：暴動罪真係10年架，諗清楚值唔值得，10年示威者：呢個唔係值唔值得，係你既隊友出賣我地毛孟靜：唔好有網民指的確有示威者在現場作「預左啦，已經有三個人死咗」等言論，唯強行在新聞片段上加上不相符的字幕，亦為扭曲片段，故本頻道將之視作假消息。Source: Now news,10.0K,2019-07-01,12:47
360,✅已核實消息警方表示將在短時間內到立法會清場。Source: Cable News Live,22.8K,2019-06-27,21:17
361,"🚫請大家小心留意以下醫療團隊早前有網民在討論區指有私家醫護團隊預備好，有需要人士可透過telegram聯絡 @angelhelp更有人以陳淑莊名義，發佈以上消息——————————————————陳淑莊已在Facebook專頁澄清自己沒有發出該訊息，亦未能確認內容。杏林覺醒亦在Facebook表示不認識該團隊，指行內人甚少稱臨床心理學家為心理醫生，呼籲有需要人士inbox杏林覺醒專頁。Source: Tanya Chan, 杏林覺醒Facebook",10.0K,2019-06-27,23:36
362,✅已核實消息大批防暴警察由警總移向金鐘一帶，最少10架警車駛出Source: TVB live,22.4K,2019-06-28,10:47
363,✅已確認消息立法會議員楊岳橋及鄺俊宇表示，立法會會議廳內及煲底範圍已沒有示威者，在場人士可以放心，呼籲其他示威者離開及保護自己。Source: 立場新聞live,9.7K,2019-06-28,20:24
364,✅已確認消息 [醫療團隊 @angelhelp 更新]杏林覺醒剛剛和 @Angelhelp 聯絡，他們在前些日子已經有幫助抗爭者處理傷患，所以如果有受傷需要協助，除了杏林覺醒之外，也可找Tg @Angelhelp。至於心理醫生的問題，應該是翻譯出錯。Source: 杏林覺醒Facebook,9.7K,2019-06-28,21:55
365,✅已確認消息 林鄭月娥會在凌晨4時，於警察總部會見傳媒，張建宗、李家超、盧偉聰亦會出席。Source: 政府新聞處,9.4K,2019-06-29,12:25
